Session Num,Phrase Num,Selection Num,Click Num,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
3,2.0,3.0,2,with sick it easy away ,with sick it ,it,11,4.445,-0.0484,1642613954.087,2.4779999256134033
3,2.0,4.0,1,with sick it easy away ,with sick it easy ,easy,62,4.445,-0.0811,1642613958.014,3.927000045776367
3,2.0,4.0,2,with sick it easy away ,with sick it easy ,easy,62,4.445,0.0924,1642613961.388,3.374000072479248
3,2.0,5.0,1,with sick it easy away ,with sick it easy away ,away,43,4.445,0.1214,1642613968.874,7.486000061035156
3,2.0,5.0,2,with sick it easy away ,with sick it easy away ,away,43,4.445,0.026,1642613973.61,4.735999822616577
3,2.0,6.0,1,with sick it easy away ,with sick it easy away .,.,.,4.445,0.1621,1642613981.699,8.08899998664856
3,2.0,6.0,2,with sick it easy away ,with sick it easy away .,.,.,4.445,-0.0307,1642613983.464,1.7650001049041748
3,2.0,6.0,3,with sick it easy away ,with sick it easy away .,.,.,4.445,0.0964,1642613986.147,2.683000087738037
3,2.0,7.0,1,with sick it easy away ,with sick it easy away ..,.,.,4.445,-0.0784,1642613993.989,7.8420000076293945
3,2.0,7.0,2,with sick it easy away ,with sick it easy away ..,.,.,4.445,0.046,1642613996.939,2.9499998092651367
3,2.0,7.0,3,with sick it easy away ,with sick it easy away ..,.,.,4.445,0.0567,1642613999.54,2.6010000705718994
3,3.0,1.0,1,take sick say sick soft ,take ,take,48,4.445,0.0467,1642614000.96,1.4200000762939453
3,3.0,1.0,2,take sick say sick soft ,take ,take,48,4.445,0.1224,1642614003.671,2.7109999656677246
3,3.0,1.0,3,take sick say sick soft ,take ,take,48,4.445,0.1777,1642614006.415,2.74399995803833
3,3.0,2.0,1,take sick say sick soft ,take sick ,sick,66,4.445,-0.0017,1642614009.602,3.187000036239624
3,3.0,2.0,2,take sick say sick soft ,take sick ,sick,66,4.445,0.0033,1642614011.405,1.8029999732971191
3,3.0,2.0,3,take sick say sick soft ,take sick ,sick,66,4.445,0.1064,1642614014.065,2.6600000858306885
3,3.0,3.0,1,take sick say sick soft ,take sick say ,say,46,4.445,0.042,1642614020.983,6.917999982833862
3,3.0,3.0,2,take sick say sick soft ,take sick say ,say,46,4.445,-0.0157,1642614023.487,2.503999948501587
3,3.0,3.0,3,take sick say sick soft ,take sick say ,say,46,4.445,0.0904,1642614026.15,2.6630001068115234
3,3.0,4.0,1,take sick say sick soft ,take sick say sick ,sick,66,4.445,-0.0921,1642614029.287,3.1369998455047607
3,3.0,4.0,2,take sick say sick soft ,take sick say sick ,sick,66,4.445,0.0687,1642614032.241,2.9539999961853027
3,3.0,4.0,3,take sick say sick soft ,take sick say sick ,sick,66,4.445,0.0677,1642614034.869,2.628000020980835
