Session Num,Phrase Num,Selection Num,Click Num,Task,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
2,1.0,3.0,7,picture,make again bumpy i what ,away again bumpy ,bumpy,63,5.429,0.0998,1639507122.296,2.8010001182556152
2,1.0,4.0,1,picture,make again bumpy i what ,away again bumpy i ,i,10,5.429,-0.0069,1639507130.429,8.132999897003174
2,1.0,4.0,2,picture,make again bumpy i what ,away again bumpy i ,i,10,5.429,0.2415,1639507133.358,2.92900013923645
2,1.0,4.0,3,picture,make again bumpy i what ,away again bumpy i ,i,10,5.429,-0.0848,1639507135.991,2.632999897003174
2,1.0,4.0,4,picture,make again bumpy i what ,away again bumpy i ,i,10,5.429,0.1128,1639507138.789,2.7980000972747803
2,1.0,4.0,5,picture,make again bumpy i what ,away again bumpy i ,i,10,5.429,0.033,1639507141.509,2.7200000286102295
2,1.0,5.0,1,picture,make again bumpy i what ,away again bumpy i what ,what,13,5.429,0.1458,1639507145.582,4.072999954223633
2,1.0,5.0,2,picture,make again bumpy i what ,away again bumpy i what ,what,13,5.429,0.032,1639507149.549,3.9670000076293945
2,1.0,5.0,3,picture,make again bumpy i what ,away again bumpy i what ,what,13,5.429,-0.0698,1639507152.166,2.616999864578247
2,1.0,5.0,4,picture,make again bumpy i what ,away again bumpy i what ,what,13,5.429,0.1947,1639507155.071,2.9050002098083496
2,1.0,6.0,1,picture,make again bumpy i what ,away again bumpy i what .,.,.,5.429,-0.1916,1639507157.924,2.8529999256134033
2,1.0,6.0,2,picture,make again bumpy i what ,away again bumpy i what .,.,.,5.429,-0.1646,1639507162.351,4.427000045776367
2,1.0,6.0,3,picture,make again bumpy i what ,away again bumpy i what .,.,.,5.429,0.012,1639507165.048,2.697000026702881
2,1.0,6.0,4,picture,make again bumpy i what ,away again bumpy i what .,.,.,5.429,0.1538,1639507167.91,2.861999988555908
2,1.0,7.0,1,picture,make again bumpy i what ,away again bumpy i what ..,.,.,5.429,0.0589,1639507176.455,8.544999837875366
2,1.0,7.0,2,picture,make again bumpy i what ,away again bumpy i what ..,.,.,5.429,0.0888,1639507179.246,2.7910001277923584
2,1.0,7.0,3,picture,make again bumpy i what ,away again bumpy i what ..,.,.,5.429,-0.2534,1639507181.702,2.4559998512268066
